Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-03-15),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,Base Set (1st Edition & Shadowless),Growlithe,28,Uncommon,1st Edition,Ungraded,Near Mint,0.0000,1,114.09,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Bulbasaur,67,Common,Normal,Ungraded,Near Mint,0.0000,1,3.69,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Fighting Energy,125,Common,Normal,Ungraded,Near Mint,0.0000,1,0.39,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Fire Energy,126,Common,Normal,Ungraded,Near Mint,0.0000,19,1.19,0,false,2026-03-15,; 
Main,Pokemon,Base Set 2,Grass Energy,127,Common,Normal,Ungraded,Near Mint,0.0000,1,0.4,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Parasect,55,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.6,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Spearow,92,Common,Normal,BGS 10.0 Pristine,Near Mint,0.0000,1,0,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Water Energy,130,Common,Normal,Ungraded,Near Mint,0.0000,13,0.41,0,false,2026-03-15,
Main,Pokemon,Base Set 2,Weepinbell,64,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.38,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Abra,43,Common,Normal,Ungraded,Heavily Played,0.0000,6,1.16,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Abra,43,Common,Normal,Ungraded,Near Mint,0.0000,2,1.93,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Alakazam,1,Holo Rare,Holofoil,Ungraded,Near Mint,0,1,83.4,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Bulbasaur,44,Common,Normal,Ungraded,Near Mint,0.0000,1,3.95,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Chansey,3,Holo Rare,Holofoil,Ungraded,Heavily Played,0.0000,1,38.09,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Charmander,46,Common,Normal,Ungraded,Near Mint,0.0000,3,2.89,0,false,2026-03-15,; ; 
Main,Pokemon,Base Set (Unlimited),Charmeleon,24,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,4.02,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Computer Search,71,Rare,Normal,Ungraded,Near Mint,0.0000,1,7.19,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Defender,80,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,2.31,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Diglett,47,Common,Normal,Ungraded,Near Mint,0.0000,7,0.97,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Dratini,26,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,2.9,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Drowzee,49,Common,Normal,Ungraded,Near Mint,0.0000,2,0.88,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Electrode,21,Rare,Normal,Ungraded,Near Mint,0.0000,1,9.65,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Energy Removal,92,Common,Normal,Ungraded,Near Mint,0.0000,1,0.7,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Energy Retrieval,81,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,0.8,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Farfetch'd,27,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.86,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Gastly,50,Common,Normal,Ungraded,Near Mint,0.0000,2,1.15,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Gust of Wind,93,Common,Normal,Ungraded,Near Mint,0.0000,4,0.5,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Haunter,29,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,4,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Ivysaur,30,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,5.32,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Jynx,31,Uncommon,Normal,Ungraded,Heavily Played,0.0000,2,0.78,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Jynx,31,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,1.3,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Kadabra,32,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,2.26,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Lightning Energy,100,Common,Normal,Ungraded,Near Mint,0.0000,16,0.77,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Machoke,34,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,1.45,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Machop,52,Common,Normal,Ungraded,Near Mint,0.0000,1,0.59,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Magikarp,35,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,3.94,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Magmar,36,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,3.3,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Magnemite,53,Common,Normal,Ungraded,Near Mint,0.0000,2,0.97,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Metapod,54,Common,Normal,Ungraded,Near Mint,0.0000,1,1.37,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Mewtwo,10,Holo Rare,Holofoil,Ungraded,Heavily Played,0.0000,1,55.5,0,false,2026-03-14,
Main,Pokemon,Base Set (Unlimited),Nidoran M,55,Common,Normal,Ungraded,Near Mint,0.0000,1,0.97,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Onix,56,Common,Normal,Ungraded,Near Mint,0.0000,2,1.42,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Pidgey,57,Common,Normal,Ungraded,Near Mint,0.0000,1,2.38,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Pikachu,58,Common,Normal,Ungraded,Near Mint,0.0000,2,7.44,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Pokedex,87,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,1.04,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Pokemon Breeder,76,Rare,Normal,Ungraded,Near Mint,0.0000,1,11.06,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Poliwag,59,Common,Normal,Ungraded,Near Mint,0.0000,1,0.93,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Poliwhirl,38,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.85,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Ponyta,60,Common,Normal,Ungraded,Near Mint,0.0000,1,0.66,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Professor Oak,88,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,1.73,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Psychic Energy,101,Common,Normal,Ungraded,Near Mint,0.0000,25,0.76,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Raticate,40,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,3.26,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Rattata,61,Common,Normal,Ungraded,Near Mint,0.0000,1,0.88,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Sandshrew,62,Common,Normal,Ungraded,Near Mint,0.0000,1,1.3,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Starmie,64,Common,Normal,Ungraded,Near Mint,0.0000,1,0.9,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Staryu,65,Common,Normal,Ungraded,Near Mint,0.0000,1,0.91,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Super Potion,90,Uncommon,Normal,Ungraded,Near Mint,0.0000,1,0.59,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Switch,95,Common,Normal,Ungraded,Near Mint,0.0000,4,0.61,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Tangela,66,Common,Normal,Ungraded,Near Mint,0.0000,1,1.16,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Vulpix,68,Common,Normal,Ungraded,Near Mint,0.0000,1,1.16,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Wartortle,42,Uncommon,Normal,Ungraded,Near Mint,0.0000,2,4.89,0,false,2026-03-15,; 
Main,Pokemon,Base Set (Unlimited),Water Energy,102,Common,Normal,Ungraded,Near Mint,0.0000,1,0.69,0,false,2026-03-15,
Main,Pokemon,Base Set (Unlimited),Weedle,69,Common,Normal,Ungraded,Near Mint,0.0000,1,0.72,0,false,2026-03-15,
